open,high,low,close,volume,date
339.6,339.6,339.6,339.6,340.0,2006-03-19 05:45:00
339.98,339.98,339.98,339.98,340.0,2006-03-20 05:45:00
339.03,339.03,339.03,339.03,339.0,2006-03-21 05:45:00
338.86,338.86,338.86,338.86,339.0,2006-03-22 05:45:00
338.7,338.7,338.7,338.7,339.0,2006-03-23 05:45:00
337.99,337.99,337.99,337.99,338.0,2006-03-26 05:45:00
337.45,337.45,337.45,337.45,337.0,2006-03-27 05:45:00
337.57,337.57,337.57,337.57,338.0,2006-03-28 05:45:00
337.52,337.52,337.52,337.52,338.0,2006-03-30 05:45:00
336.71,336.71,336.71,336.71,337.0,2006-04-02 05:45:00
334.88,334.88,334.88,334.88,335.0,2006-04-03 05:45:00
334.15,334.15,334.15,334.15,334.0,2006-04-04 05:45:00
334.77,334.77,334.77,334.77,335.0,2006-04-05 05:45:00
334.27,334.27,334.27,334.27,334.0,2006-04-16 05:45:00
331.88,331.88,331.88,331.88,332.0,2006-04-17 05:45:00
338.54,338.54,338.54,338.54,339.0,2006-04-25 05:45:00
343.28,343.28,343.28,343.28,343.0,2006-04-26 05:45:00
361.58,361.58,361.58,361.58,362.0,2006-04-30 05:45:00
374.87,374.87,374.87,374.87,375.0,2006-05-01 05:45:00
372.45,372.45,372.45,372.45,372.0,2006-05-02 05:45:00
367.99,367.99,367.99,367.99,368.0,2006-05-03 05:45:00
366.94,366.94,366.94,366.94,367.0,2006-05-04 05:45:00
368.68,368.68,368.68,368.68,369.0,2006-05-07 05:45:00
370.95,370.95,370.95,370.95,371.0,2006-05-08 05:45:00
375.15,375.15,375.15,375.15,375.0,2006-05-09 05:45:00
377.47,377.47,377.47,377.47,377.0,2006-05-10 05:45:00
381.7,381.7,381.7,381.7,382.0,2006-05-11 05:45:00
385.89,385.89,385.89,385.89,386.0,2006-05-14 05:45:00
388.49,388.49,388.49,388.49,388.0,2006-05-15 05:45:00
387.86,387.86,387.86,387.86,388.0,2006-05-16 05:45:00
384.58,384.58,384.58,384.58,385.0,2006-05-17 05:45:00
384.11,384.11,384.11,384.11,384.0,2006-05-18 05:45:00
382.65,382.65,382.65,382.65,383.0,2006-05-21 05:45:00
378.23,378.23,378.23,378.23,378.0,2006-05-22 05:45:00
372.48,372.48,372.48,372.48,372.0,2006-05-23 05:45:00
